t,X,Y,Z,p
2190.0,966696.6585000672,5625928.857694567,2844873.6454549795,20553342.55149638
2195.0,966684.3584612501,5625931.860845152,2844871.886084461,20553191.730777834
2200.0,966671.4268476436,5625935.736933684,2844868.6149642803,20553045.40900281
2205.0,966658.3750608395,5625940.48103101,2844863.668055344,20552903.40286349
2210.0,966645.7262649831,5625946.003241137,2844857.0453554806,20552765.515098225
2215.0,966633.9641769724,5625952.137500972,2844848.910899796,20552631.55347611
2220.0,966623.4857177756,5625958.6578357015,2844839.5767041664,20552501.34929162
2225.0,966614.5621594071,5625965.300478667,2844829.4722234854,20552374.773592085
2230.0,966607.3125706544,5625971.789690523,2844819.1023141253,20552251.749579154
2235.0,966601.6921609694,5625977.864750287,2844808.997815382,20552132.259993326
2240.0,966597.4966637925,5625983.305476233,2844799.663587228,20552016.348773018
2245.0,966594.3823305931,5625987.953778448,2844791.5290907933,20551904.11683001
2250.0,966591.8995787555,5625991.729133309,2844784.9063492203,20551795.712348484
2255.0,966589.5369997716,5625994.6364652,2844779.9594041323,20551691.31654096
2260.0,966586.7714198355,5625996.7656639945,2844776.6882576994,20551591.126231164
2265.0,966583.1191123258,5625998.282785621,2844774.928872288,20551495.334938437
2270.0,966578.1831488387,5625999.413797131,2844774.36922773,20551404.114282154
2275.0,966571.6922534782,5626000.4224574985,2844774.5798643334,20551317.5974936
2280.0,966563.5273569733,5626001.584499314,2844775.0559217245,20551235.866620038
2285.0,966553.7332514297,5626003.160638624,2844775.266558315,20551158.94465042
2290.0,966542.5142051221,5626005.371054821,2844774.7069137734,20551086.793319065
2295.0,966530.2139668819,5626008.373838565,2844772.9475280577,20551019.316797864
2300.0,966517.2821176457,5626012.249517316,2844769.676379623,20550956.370921332
2305.0,966504.2300629648,5626016.993173152,2844764.7294279574,20550897.777057555
2310.0,966491.5809740998,5626022.514924414,2844758.10667089,20550843.339291215
2315.0,966479.8185775236,5626028.648724045,2844749.9721449437,20550792.863267183
2320.0,966469.3398053031,5626035.168613394,2844740.6378686903,20550746.174883366
2325.0,966460.4159409873,5626041.810840523,2844730.533300732,20550703.137036238
2330.0,966453.166064205,5626048.299677904,2844720.1633018027,20550663.66280948
2335.0,966447.5453934968,5626054.374412332,2844710.058715783,20550627.723838005
2340.0,966443.349668747,5626059.814865046,2844700.7244070056,20550595.35304308
2345.0,966440.235144595,5626064.462943993,2844692.5898403106,20550566.641475175
2350.0,966437.7522380111,5626068.238118527,2844685.9670415353,20550541.72956748
2355.0,966435.3895365284,5626071.145301799,2844681.020053719,20550520.79364011
2360.0,966432.6238592268,5626073.2743693525,2844677.7488790327,20550504.0289519
2365.0,966428.9714699091,5626074.791361074,2844675.989478425,20550491.630928442
