t,X,Y,Z
12205.0,951224.5939926922,5633562.454789703,2834965.579996916
12210.0,951211.9159938466,5633567.9310443085,2834958.951586507
12215.0,951200.1231499221,5633574.019211774,2834950.810116759
12220.0,951189.613488131,5633580.494936469,2834941.4678726024
12225.0,951180.6594304492,5633587.095925824,2834931.3546792436
12230.0,951173.3811267808,5633593.547625187,2834920.9758283775
12235.0,951167.7346930234,5633599.590092906,2834910.86261702
12240.0,951163.5165056704,5633605.003444949,2834901.520340452
12245.0,951160.3831329054,5633609.629378286,2834893.3788300958
12250.0,951157.8849514914,5633613.3866662495,2834886.750378122
12255.0,951155.5101589415,5633616.279109064,2834881.799167584
12260.0,951152.7348726763,5633618.395161358,2834878.525200646
12265.0,951149.074411887,5633619.899273238,2834876.7642982285
12270.0,951144.1307419686,5633621.015792544,2834876.204171125
12275.0,951137.6314370933,5633622.007004143,2834876.4149893466
12280.0,951129.4563468897,5633623.147455922,2834876.8914572117
12285.0,951119.6493570228,5633624.6970845945,2834877.1022754204
12290.0,951108.4140927139,5633626.875771872,2834876.542148333
12295.0,951096.0939860776,5633629.84182153,2834874.7812456125
12300.0,951083.138658669,5633633.676464065,2834871.507276679
12305.0,951070.0599100143,5633638.375905718,2834866.5560595873
12310.0,951057.3816201384,5633643.851700066,2834859.9275921723
12315.0,951045.5884696827,5633649.939405876,2834851.7860524077
12320.0,951035.0784968848,5633656.414683736,2834842.4437279077
12325.0,951026.1241351846,5633663.015255845,2834832.3304475755
12330.0,951018.8455452658,5633669.466579419,2834821.9515074515
12335.0,951013.1988520671,5633675.508720623,2834811.8382091215
12340.0,951008.9804384978,5633680.921798412,2834802.4958522106
12345.0,951005.8468759058,5633685.547507631,2834794.354271839
12350.0,951003.3485406564,5633689.304614578,2834787.7257628613
12355.0,951000.9736263413,5633692.196908222,2834782.7745097443
12360.0,950998.1982433219,5633694.312828826,2834779.5005146507
12365.0,950994.537701281,5633695.816810413,2834777.73959709
12370.0,950989.593954588,5633696.933184601,2834777.1794651696
12375.0,950983.0945659517,5633697.924221495,2834777.3902852037
12380.0,950974.9193742207,5633699.064457107,2834777.8667571666
12385.0,950965.11225602,5633700.61382034,2834778.0775771886
12390.0,950953.8768301546,5633702.792189916,2834777.5174452844
12395.0,950941.5565255743,5633705.757871733,2834775.75652742
12400.0,950928.6009642326,5633709.592103327,2834772.4825303312
12405.0,950915.5219495762,5633714.291102186,2834767.5312706595
12410.0,950902.8433686901,5633719.766436262,2834760.9027462425
12415.0,950891.0499117231,5633725.853680402,2834752.761136463
12420.0,950880.5396279385,5633732.328511413,2834743.418731622
12425.0,950871.5849622393,5633738.928666262,2834733.3053643196
12430.0,950864.3060860881,5633745.379614035,2834722.9263349413
12435.0,950858.6591334641,5633751.421428713,2834712.8129496416
12440.0,950854.4404936921,5633756.834232236,2834703.4705123906
12445.0,950851.3067412842,5633761.459717328,2834695.328862006
12450.0,950848.8082522084,5633765.216643251,2834688.700296027
12455.0,950846.4332161357,5633768.108787721,2834683.749000332
12460.0,950843.6577363682,5633770.22457663,2834680.474977084
12465.0,950839.9971130812,5633771.728427919,2834678.71404438
12470.0,950835.0532896194,5633772.844656987,2834678.1539076427
12475.0,950828.5538172285,5633773.835519169,2834678.3647294906
12480.0,950820.3785239785,5633774.975538611,2834678.8412055504
12485.0,950810.571277454,5633776.524636397,2834679.052027385
12490.0,950799.3356900442,5633778.702688262,2834678.491890664
12495.0,950787.015187535,5633781.66800223,2834676.730957657
12500.0,950774.059392277,5633785.50182287,2834673.456932414
12505.0,950760.9801116375,5633790.200378925,2834668.505630165
12510.0,950748.3012397608,5633795.675252714,2834661.8770487467
12515.0,950736.5074763033,5633801.762035171,2834653.7353689545
12520.0,950725.9968815523,5633808.236419319,2834644.392883776
12525.0,950717.041911873,5633814.836156892,2834634.279429506
12530.0,950709.7627495074,5633821.2867288515,2834623.900310877
12535.0,950704.1155374736,5633827.3282169895,2834613.7868386097
12540.0,950699.8966715127,5633832.74074624,2834604.4443210224
12545.0,950696.7627293004,5633837.366007195,2834596.3026006264
12550.0,950694.2640864073,5633841.122752087,2834589.673977648
12555.0,950691.8889285843,5633844.0147473775,2834584.7226393768
12560.0,950689.1133520748,5633846.130404587,2834581.4485879755
12565.0,950685.4526475471,5633847.634125574,2834579.687640129
12570.0,950680.5087473221,5633848.750209518,2834579.127498575
12575.0,950674.0091911837,5633849.740896987,2834579.3383222357
12580.0,950665.8337964227,5633850.88070025,2834579.814802393
12585.0,950656.0264215845,5633852.429532584,2834580.025626041
12590.0,950644.7906726428,5633854.60726673,2834579.4654845027
12595.0,950632.4699722189,5633857.572212839,2834577.7045363532
12600.0,950619.5139430615,5633861.405622513,2834574.430482957
12605.0,950606.4343964577,5633866.103735749,2834569.479138132
12610.0,950593.7552336102,5633871.5781492395,2834562.8504997143
12615.0,950581.9611636825,5633877.664469997,2834554.7087499127
12620.0,950571.4502579848,5633884.138407266,2834545.366184399
12625.0,950562.4949843454,5633890.737727551,2834535.2526431647
12630.0,950555.215535783,5633897.187923684,2834524.873435287
12635.0,950549.5680643555,5633903.229085272,2834514.7598760566
12640.0,950545.3489722189,5633908.641340236,2834505.417278135
12645.0,950542.2148402137,5633913.266377048,2834497.2754877307
12650.0,950539.7160435122,5633917.022940902,2834490.646807755
12655.0,950537.3407639464,5633919.9147870075,2834485.6954269083
12660.0,950534.5650907009,5633922.030312513,2834482.421347355
12665.0,950530.9043049382,5633923.533903193,2834480.6603843668
12670.0,950525.960327956,5633924.64984201,2834480.1002379963
12675.0,950519.4606880762,5633925.640354759,2834480.3110634694
12680.0,950511.2851918124,5633926.779941841,2834480.787547724
12685.0,950501.477688671,5633928.328508715,2834480.9983731844
12690.0,950490.2417782093,5633930.505925135,2834480.43822683
